ONS ID,ONS region ID,Constituency name,County name,Region name,Country name,Constituency type,Declaration time,mpFirstName,mpSurname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner,ratio800,ratio1000,ratio1200,ratio1500,ratio2000,overlap_800m,overlap_1000m,overlap_1200m,overlap_1500m,overlap_2000m
E14001528,E12000002,Stretford and Urmston,,North West,England,Borough,,Andrew,Western,Male,Lab hold,Lab,Con,75153,46002,168,16150,6492,22642,2216,5485,4398,0,0,0,0,0,0,0,4769,0,0.17874592711356235,0.25703191458230906,0.3422009999399892,0.503281652673317,0.797325792855315,8366397.17849924,12030657.815097844,16017089.321193911,23556644.153583016,37319699.371114984
E14001529,E12000009,Stroud,,South West,England,County,,Simon,Opher,Male,Lab gain from Con,Lab,Con,77905,55221,227,11388,14219,25607,2913,6329,5729,0,0,0,0,0,0,0,424,0,0.022499761435928838,0.03514665031847651,0.05012408495714602,0.07659433460526169,0.13205556639563273,6022173.101848154,9407175.839207042,13415960.744439565,20500854.772495158,35345329.42323495
E14001530,E12000006,Suffolk Coastal,,East of England,England,County,,Jenny,Riddell-Carpenter,Female,Lab gain from Con,Lab,Con,74522,49451,189,1070,14602,15672,6947,7850,4380,0,0,0,0,0,0,0,0,0,0.016987609137051572,0.026519170002682075,0.037983449885234735,0.05767130057734947,0.09661994054769078,11373902.24418372,17755673.842855237,25431480.228093714,38613305.13138693,64691019.77578315
E14001531,E12000001,Sunderland Central,,North East,England,Borough,,Lewis,Atkinson,Male,Lab hold,Lab,RUK,76145,39957,99,6073,5731,16852,3602,10779,2993,0,0,0,0,0,0,0,0,0,0.09185519689737556,0.13585787977117483,0.18858284524387803,0.2803673057190682,0.4517026433607108,2660392.012646472,3934836.899888513,5461904.303242458,8120247.584636463,13082614.213224418
E14001532,E12000008,Surrey Heath,,South East,England,County,,Al,Pinkerton,Male,LD gain from Con,LD,Con,71934,47788,140,5640,15747,3148,21387,6252,1162,0,0,0,0,0,0,0,92,0,0.06663593223380335,0.10963851738187261,0.16459899303112882,0.25946061900797635,0.4191284375094874,8694014.372843675,14304577.335105233,21475290.63069509,33851921.556789674,54683840.048785254
E14001533,E12000008,Sussex Weald,,South East,England,County,,Nus,Ghani,Female,Con hold,Con,LD,72885,49175,190,6842,16758,8239,9916,8920,3762,0,0,0,0,0,0,0,1580,0,0.024796209540231536,0.038634584477524034,0.05607660443524264,0.08844964499684564,0.15328555266350552,11937893.269695902,18600243.93096919,26997534.344462216,42583219.01989283,73797834.48410851
E14001534,E12000007,Sutton and Cheam,,London,England,Borough,,Luke,Taylor,Male,LD gain from Con,LD,Con,72303,47606,139,3801,13775,8430,17576,5787,1721,0,0,0,0,0,0,0,317,0,0.6199894760183801,0.7846758930472866,0.8877079706056483,0.9725781850576329,1.0000000000000044,11328567.500105014,14337749.532748263,16220371.561741143,17771136.518821146,18272193.219888173
E14001535,E12000005,Sutton Coldfield,,West Midlands,England,Borough,,Andrew,Mitchell,Male,Con hold,Con,Lab,74080,48333,172,2543,18502,15959,2587,8213,2419,0,0,0,0,0,0,0,653,0,0.17974154482715976,0.2576015697074823,0.33413221274060967,0.4368519895946673,0.5880925699687849,10361368.885192899,14849682.591248339,19261362.841631,25182740.121508297,33901144.34560567
W07000108,W92000004,Swansea West,,Wales,Wales,County,,Torsten,Bell,Male,Lab hold,Lab,RUK,74236,35657,130,8515,3536,14761,4367,6246,2305,0,4105,0,0,0,0,0,337,0,0.04753666957357637,0.07139782610468386,0.0996794311677438,0.13963983019714957,0.21501932906316726,1525100.2237309818,2290628.2990149944,3197975.881335305,4480009.604917868,6898380.340952666
E14001536,E12000009,Swindon North,,South West,England,County,,Will,Stone,Male,Lab gain from Con,Lab,Con,73224,44165,124,4103,13827,17930,2086,7557,2366,0,0,0,0,0,0,0,399,0,0.016494870577456102,0.025350182643396453,0.03554084998583675,0.053463097498588366,0.09423023255216297,1688380.9815036668,2594792.487262777,3637888.208991092,5472372.553941797,9645212.539053224
E14001537,E12000009,Swindon South,,South West,England,Borough,,Heidi,Alexander,Female,Lab gain from Con,Lab,Con,72575,44794,147,9606,12070,21676,1843,6194,2539,0,0,0,0,0,0,0,472,0,0.0350450261598278,0.05627264343462695,0.08265912035846563,0.13163673841462828,0.23429279338802447,1144423.4249353125,1837628.2852783538,2699299.8433316136,4298703.226435913,7651019.001211156
E14001538,E12000005,Tamworth,,West Midlands,England,County,,Sarah,Edwards,Female,Lab gain from Con,Lab,Con,75055,43788,116,1382,13956,15338,1451,11004,1579,0,0,0,0,0,0,0,460,0,0.035824565627364,0.05577422315608535,0.08017185250174698,0.12771814491761604,0.23097411185432662,6865900.129055561,10689320.003166696,15365208.83920821,24477617.86685255,44266975.93167168
E14001539,E12000002,Tatton,,North West,England,County,,Esther,McVey,Female,Con hold,Con,Lab,74237,51909,198,1136,19956,18820,4614,5948,2571,0,0,0,0,0,0,0,0,0,0.0554518987263376,0.08683739552657516,0.12208853745675642,0.1802315438902811,0.2829187644671469,20063601.0002771,31419498.624326404,44174063.62095059,65211360.96934078,102365641.86510253
E14001540,E12000009,Taunton and Wellington,,South West,England,County,,Gideon,Amos,Male,LD gain from Con,LD,Con,78680,50294,167,11939,12392,3552,24331,8053,1832,0,0,0,0,0,0,0,134,0,0.006979503965473966,0.010905474946053033,0.015703883922316482,0.024537318628619468,0.043632888423834636,2007391.0339493977,3136548.490545923,4516629.826386162,7057234.103728368,12549354.42985627
E14001541,E12000005,Telford,,West Midlands,England,Borough,,Shaun,Davies,Male,Lab gain from Con,Lab,RUK,73808,40730,148,8102,8728,18212,1560,10110,2120,0,0,0,0,0,0,0,0,0,0.11688117684400216,0.17408200528206988,0.2367066045289955,0.3449602227443764,0.5300467071993042,6020764.995622094,8967285.170039516,12193193.78245866,17769537.320396345,27303683.509361304
E14001542,E12000009,Tewkesbury,,South West,England,County,,Cameron,Thomas,Male,LD gain from Con,LD,Con,73458,48539,150,6262,14468,4298,20730,6000,2873,0,0,0,0,0,0,0,170,0,0.02548892748566625,0.04031037925721933,0.05901942669464579,0.09202770826652441,0.1580867508064819,8201937.688718585,12971248.753493208,18991527.22081378,29613075.29561893,50869840.64966652
